ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
40,482,C1G0001,Matching To Sample,46,0,1.23,ARES_JSC1,1,1.27,46,9/27/2004,2:18:57 AM,136,10,8,2,0,0,11,1170,1760,1288,380,494,448,1200,1760,1760,37,5,4,1,0,0,7,1195,2110,1378,452,0,566,1090,2110,2110,34,5,4,1,0,0,4,1145,1410,1198,361,0,334,1235,1410,1410,40,0,0,0,0,0,NA
41,488,C1G0001,Matching To Sample,47,0,1.23,ARES_JSC1,1,1.27,47,9/28/2004,2:07:49 AM,143,10,8,2,0,0,11,1566,2550,1763,619,1004,763,1610,2550,2550,27,5,3,2,0,0,7,1550,2550,1950,365,1004,786,1405,2550,2550,18,5,5,0,0,0,4,1576,NA,1576,777,NA,777,1275,NA,NA,38,0,0,0,0,0,NA
42,497,C1G0001,Matching To Sample,48,0,1.23,ARES_JSC1,1,1.27,48,9/28/2004,2:14:11 AM,139,10,9,1,0,0,11,1767,880,1679,293,0,394,1825,880,880,32,5,4,1,0,0,7,1705,880,1540,368,0,488,1825,880,880,31,5,5,0,0,0,4,1818,NA,1818,251,NA,251,1740,NA,NA,33,0,0,0,0,0,NA
43,503,C1G0001,Matching To Sample,49,0,1.23,ARES_JSC1,1,1.27,49,9/28/2004,2:18:19 AM,138,10,10,0,0,0,11,1478,NA,1478,582,NA,582,1275,NA,NA,40,5,5,0,0,0,7,1856,NA,1856,609,NA,609,1805,NA,NA,32,5,5,0,0,0,4,1100,NA,1100,184,NA,184,1035,NA,NA,54,0,0,0,0,0,NA
44,512,C1G0001,Matching To Sample,50,0,1.23,ARES_JSC1,1,1.27,50,9/29/2004,2:06:35 AM,149,10,8,2,0,0,11,1680,3555,2055,1088,21,1243,1235,3555,3555,23,5,5,0,0,0,7,1522,NA,1522,910,NA,910,1155,NA,NA,39,5,3,2,0,0,4,1943,3555,2588,1523,21,1392,1070,3555,3555,13,0,0,0,0,0,NA
45,524,C1G0001,Matching To Sample,51,0,1.23,ARES_JSC1,1,1.27,51,9/29/2004,2:13:00 AM,151,10,9,1,0,0,11,1686,3040,1822,582,0,696,1430,3040,3040,29,5,5,0,0,0,7,1814,NA,1814,656,NA,656,1560,NA,NA,33,5,4,1,0,0,4,1527,3040,1830,518,0,812,1365,3040,3040,26,0,0,0,0,0,NA
46,533,C1G0001,Matching To Sample,52,0,1.23,ARES_JSC1,1,1.27,52,9/29/2004,2:18:26 AM,138,10,8,2,0,0,11,1537,1280,1486,1166,678,1058,1220,1280,1280,32,5,5,0,0,0,7,1620,NA,1620,1479,NA,1479,1030,NA,NA,37,5,3,2,0,0,4,1400,1280,1352,582,678,537,1085,1280,1280,26,0,0,0,0,0,NA
47,542,C1G0001,Matching To Sample,53,0,1.23,ARES_JSC1,1,1.27,53,9/30/2004,2:07:39 AM,139,10,9,1,0,0,11,1534,2010,1582,523,0,516,1365,2010,2010,34,5,5,0,0,0,7,1732,NA,1732,657,NA,657,1405,NA,NA,34,5,4,1,0,0,4,1287,2010,1432,89,0,332,1290,2010,2010,33,0,0,0,0,0,NA
48,554,C1G0001,Matching To Sample,54,0,1.23,ARES_JSC1,1,1.27,54,9/30/2004,2:19:51 AM,141,10,8,2,0,0,11,1491,2365,1666,380,459,521,1495,2365,2365,28,5,4,1,0,0,7,1330,2040,1472,272,0,395,1355,2040,2040,32,5,4,1,0,0,4,1652,2690,1860,441,0,600,1595,2690,2690,25,0,0,0,0,0,NA
49,563,C1G0001,Matching To Sample,55,0,1.23,ARES_JSC1,1,1.27,55,10/1/2004,2:08:04 AM,139,10,9,1,0,0,11,1371,3060,1540,581,0,765,1170,3060,3060,35,5,5,0,0,0,7,1430,NA,1430,628,NA,628,1170,NA,NA,41,5,4,1,0,0,4,1297,3060,1650,602,0,945,1265,3060,3060,29,0,0,0,0,0,NA
50,569,C1G0001,Matching To Sample,56,0,1.23,ARES_JSC1,1,1.27,56,10/1/2004,2:12:45 AM,141,10,9,1,0,0,11,1535,1320,1514,461,0,440,1530,1320,1320,35,5,4,1,0,0,7,1385,1320,1372,389,0,338,1325,1320,1320,34,5,5,0,0,0,4,1656,NA,1656,520,NA,520,1580,NA,NA,36,0,0,0,0,0,NA
51,578,C1G0001,Matching To Sample,57,0,1.23,ARES_JSC1,1,1.27,57,10/1/2004,2:20:26 AM,145,10,8,2,0,0,11,1505,2870,1778,411,141,682,1370,2870,2870,26,5,4,1,0,0,7,1242,2970,1588,172,0,786,1215,2970,2970,30,5,4,1,0,0,4,1767,2770,1968,427,0,581,1780,2770,2770,24,0,0,0,0,0,NA
52,584,C1G0001,Matching To Sample,58,0,1.23,ARES_JSC1,1,1.27,58,10/3/2004,2:08:23 AM,143,10,8,2,0,0,11,1847,1885,1855,906,1166,889,1620,1885,1885,25,5,5,0,0,0,7,1988,NA,1988,1017,NA,1017,1620,NA,NA,30,5,3,2,0,0,4,1613,1885,1722,822,1166,837,1145,1885,1885,20,1,0,0,0,0,NA
53,599,C1G0001,Matching To Sample,59,0,1.23,ARES_JSC1,1,1.27,59,10/3/2004,2:13:55 AM,148,10,10,0,0,0,11,1487,NA,1487,731,NA,731,1155,NA,NA,40,5,5,0,0,0,7,1126,NA,1126,280,NA,280,1030,NA,NA,53,5,5,0,0,0,4,1848,NA,1848,895,NA,895,1465,NA,NA,32,0,0,0,0,0,NA
54,608,C1G0001,Matching To Sample,60,0,1.23,ARES_JSC1,1,1.27,60,10/3/2004,2:18:48 AM,139,10,9,1,0,0,11,1592,2380,1671,471,0,509,1360,2380,2380,32,5,5,0,0,0,7,1750,NA,1750,499,NA,499,1430,NA,NA,34,5,4,1,0,0,4,1395,2380,1592,407,0,564,1235,2380,2380,30,0,0,0,0,0,NA
